,0,1,2,3,4,5,6,7,8
0,tmp\music_vae\generated\adjective01\cat-mel_2bar_big_sample_2024-05-27_194411-000-of-1000.mid,120,4/4 at 0.00 seconds,0.625,8.0,0.25,2.5714285714285716,0.0,0.25
1,tmp\music_vae\generated\adjective01\cat-mel_2bar_big_sample_2024-05-27_194411-001-of-1000.mid,120,4/4 at 0.00 seconds,0.9090909090909091,11.0,0.34375,2.0,0.0,0.09090909090909091
2,tmp\music_vae\generated\adjective01\cat-mel_2bar_big_sample_2024-05-27_194411-002-of-1000.mid,120,4/4 at 0.00 seconds,0.6923076923076923,13.0,0.43333333333333335,2.1666666666666665,0.0,0.07692307692307693
3,tmp\music_vae\generated\adjective01\cat-mel_2bar_big_sample_2024-05-27_194411-003-of-1000.mid,120,4/4 at 0.00 seconds,0.7272727272727273,11.0,0.34375,1.4,0.0,0.18181818181818182
4,tmp\music_vae\generated\adjective01\cat-mel_2bar_big_sample_2024-05-27_194411-004-of-1000.mid,120,4/4 at 0.00 seconds,0.5,10.0,0.3125,4.0,0.0,0.3
5,tmp\music_vae\generated\adjective01\cat-mel_2bar_big_sample_2024-05-27_194411-005-of-1000.mid,120,4/4 at 0.00 seconds,0.6153846153846154,13.0,0.40625,2.5,0.0,0.07692307692307693
6,tmp\music_vae\generated\adjective01\cat-mel_2bar_big_sample_2024-05-27_194411-006-of-1000.mid,120,4/4 at 0.00 seconds,1.0,4.0,0.125,3.0,0.0,0.0
7,tmp\music_vae\generated\adjective01\cat-mel_2bar_big_sample_2024-05-27_194411-007-of-1000.mid,120,4/4 at 0.00 seconds,0.6,5.0,0.15625,11.5,0.0,0.0
8,tmp\music_vae\generated\adjective01\cat-mel_2bar_big_sample_2024-05-27_194411-008-of-1000.mid,120,4/4 at 0.00 seconds,0.3,10.0,0.3125,1.3333333333333333,0.0,0.0
9,tmp\music_vae\generated\adjective01\cat-mel_2bar_big_sample_2024-05-27_194411-009-of-1000.mid,120,4/4 at 0.00 seconds,0.7058823529411765,17.0,0.53125,3.8125,0.0,0.0
