file_path,tempo,time_signature,c_diatonic,note_num,note_density,average_interval,syncopation_16th,syncopation_8th,major_likelihood,minor_likelihood
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-000-of-1024.mid,120,4/4 at 0.00 seconds,0.913043478,46,0.180392157,2.022222222,0.195652174,0.304347826,0.525331422,0.474668578
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-001-of-1024.mid,120,4/4 at 0.00 seconds,0.611111111,72,0.282352941,2.61971831,0,0.236111111,0.495236831,0.504763169
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-002-of-1024.mid,120,4/4 at 0.00 seconds,0.892857143,84,0.328125,5.927710843,0,0,0.534205806,0.465794194
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-003-of-1024.mid,120,4/4 at 0.00 seconds,0.742857143,70,0.286885246,3.376811594,0,0,0.519673652,0.480326348
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-004-of-1024.mid,120,4/4 at 0.00 seconds,0.272727273,44,0.171875,7.88372093,0,0.022727273,0.512516864,0.487483136
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-005-of-1024.mid,120,4/4 at 0.00 seconds,0.448275862,58,0.22745098,1.526315789,0,0.448275862,0.497193575,0.502806425
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-006-of-1024.mid,120,4/4 at 0.00 seconds,0.864864865,37,0.14453125,8.777777778,0,0.162162162,0.519547918,0.480452082
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-007-of-1024.mid,120,4/4 at 0.00 seconds,0.803738318,107,0.41796875,4.943396226,0,0.093457944,0.514514414,0.485485586
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-008-of-1024.mid,120,4/4 at 0.00 seconds,0.978494624,93,0.36328125,1.663043478,0,0.086021505,0.455792105,0.544207895
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\0704\hierdec-mel_16bar_sample_2024-07-04_193833-009-of-1024.mid,120,4/4 at 0.00 seconds,1,75,0.29296875,1.432432432,0.026666667,0.213333333,0.459969332,0.540030668
