file_path,tempo,time_signature,c_diatonic,note_num,note_density,average_interval,syncopation_16th,syncopation_8th,major_likelihood,minor_likelihood,tonic,mode,key_correlation,average_pitch
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\16bar_8192\hierdec-mel_16bar_sample_2024-09-03_202920-000-of-8192.mid,120,4/4 at 0.00 seconds,0.9705882352941176,34,0.13333333333333333,3.0606060606060606,0.0,0.029411764705882353,0.44387520757516874,0.5561247924248313,C,major,0.8006044170283683,72.23529411764706
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\16bar_8192\hierdec-mel_16bar_sample_2024-09-03_202920-001-of-8192.mid,120,4/4 at 0.00 seconds,0.36585365853658536,82,0.3215686274509804,1.2345679012345678,0.12195121951219512,0.13414634146341464,0.5220821529745042,0.4779178470254957,C#,major,0.8250480829598128,32.86585365853659
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\16bar_8192\hierdec-mel_16bar_sample_2024-09-03_202920-002-of-8192.mid,120,4/4 at 0.00 seconds,0.24675324675324675,77,0.30078125,3.1710526315789473,0.0,0.0,0.5198396576474092,0.4801603423525907,A-,major,0.7734934735160092,79.15584415584415
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\16bar_8192\hierdec-mel_16bar_sample_2024-09-03_202920-003-of-8192.mid,120,4/4 at 0.00 seconds,0.944,125,0.48828125,1.75,0.0,0.12,0.5207406443779541,0.47925935562204586,G,major,0.8141898697152217,45.624
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\16bar_8192\hierdec-mel_16bar_sample_2024-09-03_202920-004-of-8192.mid,120,4/4 at 0.00 seconds,0.8260869565217391,46,0.1796875,2.1333333333333333,0.043478260869565216,0.17391304347826086,0.5218516893374286,0.47814831066257135,D,major,0.7845160771047502,64.6086956521739
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\16bar_8192\hierdec-mel_16bar_sample_2024-09-03_202920-005-of-8192.mid,120,4/4 at 0.00 seconds,0.975609756097561,82,0.3203125,2.7037037037037037,0.024390243902439025,0.024390243902439025,0.5140426596609745,0.4859573403390255,G,minor,0.7537182960207087,38.3780487804878
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\16bar_8192\hierdec-mel_16bar_sample_2024-09-03_202920-006-of-8192.mid,120,4/4 at 0.00 seconds,0.7866666666666666,75,0.29296875,4.77027027027027,0.013333333333333334,0.0,0.505858404526439,0.494141595473561,B-,major,0.2664412931158952,33.973333333333336
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\16bar_8192\hierdec-mel_16bar_sample_2024-09-03_202920-007-of-8192.mid,120,4/4 at 0.00 seconds,0.8913043478260869,46,0.1803921568627451,3.6222222222222222,0.0,0.043478260869565216,0.4871347579590057,0.5128652420409944,A,minor,0.8121994638912952,46.73913043478261
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\16bar_8192\hierdec-mel_16bar_sample_2024-09-03_202920-008-of-8192.mid,120,4/4 at 0.00 seconds,0.5753424657534246,73,0.28515625,1.7083333333333333,0.0,0.0273972602739726,0.4816146752668305,0.5183853247331695,F,major,0.4904818127547419,69.71232876712328
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\16bar_8192\hierdec-mel_16bar_sample_2024-09-03_202920-009-of-8192.mid,120,4/4 at 0.00 seconds,0.5714285714285714,98,0.3828125,3.0412371134020617,0.0,0.030612244897959183,0.464940464940465,0.5350595350595351,F,minor,0.8371061159811413,45.173469387755105
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\16bar_8192\hierdec-mel_16bar_sample_2024-09-03_202920-010-of-8192.mid,120,4/4 at 0.00 seconds,0.6944444444444444,36,0.14173228346456693,8.057142857142857,0.0,0.0,0.5047442042453292,0.49525579575467077,G,minor,0.5811333922168045,65.66666666666667
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\16bar_8192\hierdec-mel_16bar_sample_2024-09-03_202920-011-of-8192.mid,120,4/4 at 0.00 seconds,1.0,62,0.2421875,1.7049180327868851,0.0,0.24193548387096775,0.47406596414397145,0.5259340358560284,G,major,0.6586228059442917,70.69354838709677
C:\Users\arkw\GitHub\magenta\tmp\music_vae\generated\16bar_8192\hierdec-mel_16bar_sample_2024-09-03_202920-012-of-8192.mid,120,4/4 at 0.00 seconds,0.44871794871794873,78,0.3058823529411765,4.285714285714286,0.0,0.11538461538461539,0.4864932583741799,0.5135067416258202,C#,minor,0.5201528409337572,74.85897435897436
